Season,Seed,TeamID
1998,W01,3330
1998,W02,3163
1998,W03,3112
1998,W04,3301
1998,W05,3272
1998,W06,3438
1998,W07,3208
1998,W08,3307
1998,W09,3304
1998,W10,3203
1998,W11,3374
1998,W12,3464
1998,W13,3263
1998,W14,3365
1998,W15,3193
1998,W16,3384
1998,X01,3403
1998,X02,3104
1998,X03,3256
1998,X04,3345
1998,X05,3179
1998,X06,3155
1998,X07,3417
1998,X08,3283
1998,X09,3323
1998,X10,3276
1998,X11,3274
1998,X12,3161
1998,X13,3449
1998,X14,3221
1998,X15,3422
1998,X16,3212
1998,Y01,3397
1998,Y02,3314
1998,Y03,3228
1998,Y04,3235
1998,Y05,3353
1998,Y06,3435
1998,Y07,3198
1998,Y08,3443
1998,Y09,3372
1998,Y10,3266
1998,Y11,3364
1998,Y12,3332
1998,Y13,3245
1998,Y14,3453
1998,Y15,3224
1998,Y16,3251
1998,Z01,3390
1998,Z02,3181
1998,Z03,3196
1998,Z04,3234
1998,Z05,3242
1998,Z06,3458
1998,Z07,3428
1998,Z08,3218
1998,Z09,3116
1998,Z10,3257
1998,Z11,3439
1998,Z12,3408
1998,Z13,3269
1998,Z14,3285
1998,Z15,3292
1998,Z16,3217
1999,W01,3397
1999,W02,3330
1999,W03,3181
1999,W04,3439
1999,W05,3120
1999,W06,3408
1999,W07,3390
1999,W08,3130
1999,W09,3326
1999,W10,3263
1999,W11,3386
1999,W12,3400
1999,W13,3389
1999,W14,3221
1999,W15,3399
1999,W16,3111
1999,X01,3163
1999,X02,3155
1999,X03,3208
1999,X04,3235
1999,X05,3332
1999,X06,3405
1999,X07,3228
1999,X08,3462
1999,X09,3198
1999,X10,3257
1999,X11,3374
1999,X12,3153
1999,X13,3365
1999,X14,3251
1999,X15,3197
1999,X16,3384
1999,Y01,3345
1999,Y02,3403
1999,Y03,3353
1999,Y04,3314
1999,Y05,3104
1999,Y06,3112
1999,Y07,3280
1999,Y08,3266
1999,Y09,3242
1999,Y10,3301
1999,Y11,3196
1999,Y12,3212
1999,Y13,3318
1999,Y14,3171
1999,Y15,3372
1999,Y16,3331
1999,Z01,3256
1999,Z02,3161
1999,Z03,3417
1999,Z04,3261
1999,Z05,3323
1999,Z06,3246
1999,Z07,3283
1999,Z08,3336
1999,Z09,3438
1999,Z10,3364
1999,Z11,3304
1999,Z12,3388
1999,Z13,3191
1999,Z14,3453
1999,Z15,3169
1999,Z16,3416
2000,W01,3163
2000,W02,3181
2000,W03,3261
2000,W04,3345
2000,W05,3328
2000,W06,3462
2000,W07,3266
2000,W08,3179
2000,W09,3155
2000,W10,3443
2000,W11,3372
2000,W12,3140
2000,W13,3171
2000,W14,3251
2000,W15,3144
2000,W16,3214
2000,X01,3256
2000,X02,3336
2000,X03,3235
2000,X04,3330
2000,X05,3301
2000,X06,3228
2000,X07,3120
2000,X08,3242
2000,X09,3435
2000,X10,3283
2000,X11,3428
2000,X12,3374
2000,X13,3453
2000,X14,3384
2000,X15,3464
2000,X16,3108
2000,Y01,3397
2000,Y02,3323
2000,Y03,3403
2000,Y04,3438
2000,Y05,3130
2000,Y06,3408
2000,Y07,3203
2000,Y08,3112
2000,Y09,3245
2000,Y10,3417
2000,Y11,3436
2000,Y12,3304
2000,Y13,3337
2000,Y14,3399
2000,Y15,3360
2000,Y16,3202
2000,Z01,3208
2000,Z02,3353
2000,Z03,3280
2000,Z04,3364
2000,Z05,3314
2000,Z06,3332
2000,Z07,3400
2000,Z08,3276
2000,Z09,3390
2000,Z10,3386
2000,Z11,3412
2000,Z12,3263
2000,Z13,3349
2000,Z14,3389
2000,Z15,3221
2000,Z16,3285
2001,W01,3163
2001,W02,3208
2001,W03,3256
2001,W04,3301
2001,W05,3437
2001,W06,3336
2001,W07,3458
2001,W08,3268
2001,W09,3161
2001,W10,3281
2001,W11,3395
2001,W12,3179
2001,W13,3174
2001,W14,3209
2001,W15,3251
2001,W16,3254
2001,X01,3323
2001,X02,3235
2001,X03,3435
2001,X04,3234
2001,X05,3428
2001,X06,3160
2001,X07,3199
2001,X08,3276
2001,X09,3438
2001,X10,3408
2001,X11,3373
2001,X12,3193
2001,X13,3332
2001,X14,3226
2001,X15,3224
2001,X16,3108
2001,Y01,3397
2001,Y02,3403
2001,Y03,3345
2001,Y04,3462
2001,Y05,3155
2001,Y06,3261
2001,Y07,3439
2001,Y08,3400
2001,Y09,3388
2001,Y10,3176
2001,Y11,3113
2001,Y12,3151
2001,Y13,3257
2001,Y14,3364
2001,Y15,3335
2001,Y16,3122
2001,Z01,3181
2001,Z02,3328
2001,Z03,3196
2001,Z04,3353
2001,Z05,3283
2001,Z06,3449
2001,Z07,3203
2001,Z08,3124
2001,Z09,3116
2001,Z10,3390
2001,Z11,3330
2001,Z12,3405
2001,Z13,3372
2001,Z14,3221
2001,Z15,3331
2001,Z16,3454
2002,W01,3181
2002,W02,3124
2002,W03,3376
2002,W04,3400
2002,W05,3256
2002,W06,3153
2002,W07,3179
2002,W08,3395
2002,W09,3231
2002,W10,3393
2002,W11,3389
2002,W12,3364
2002,W13,3453
2002,W14,3251
2002,W15,3137
2002,W16,3313
2002,X01,3328
2002,X02,3390
2002,X03,3160
2002,X04,3403
2002,X05,3130
2002,X06,3261
2002,X07,3161
2002,X08,3337
2002,X09,3437
2002,X10,3408
2002,X11,3365
